Time_Seconds,Best_Fitness
20351.82,43714.0
20357.75,43714.0
20363.75,43714.0
20369.71,43714.0
20375.67,43714.0
20381.66,43714.0
20387.55,43714.0
20393.47,43714.0
20399.43,43714.0
20405.33,43714.0
20411.27,43714.0
20417.22,43714.0
20423.22,43714.0
20429.25,43714.0
20435.21,43714.0
20441.09,43714.0
20447.05,43714.0
20453.05,43714.0
20458.97,43714.0
20464.84,43714.0
20470.8,43714.0
20476.7,43714.0
20482.62,43714.0
20488.64,43714.0
20494.6,43714.0
20500.55,43714.0
20506.57,43714.0
20512.51,43714.0
20518.48,43714.0
20524.42,43714.0
20530.36,43714.0
20536.29,43714.0
20542.27,43714.0
20548.32,43714.0
20554.24,43714.0
20560.26,43714.0
20566.15,43714.0
20572.08,43714.0
20578.04,43714.0
20583.96,43714.0
20589.85,43714.0
20595.82,43714.0
20601.77,43714.0
20607.71,43714.0
20613.73,43714.0
20619.65,43714.0
20625.61,43714.0
20631.54,43714.0
20637.46,43714.0
20643.36,43714.0
20649.34,43714.0
20655.29,43714.0
20661.18,43714.0
20667.24,43714.0
20673.26,43714.0
20679.2,43714.0
20685.21,43714.0
20691.19,43714.0
20697.07,43714.0
20703.05,43714.0
20708.99,43714.0
20714.91,43714.0
20720.8,43714.0
20726.78,43714.0
20732.72,43714.0
20738.7,43714.0
20744.61,43714.0
20750.52,43714.0
20756.49,43714.0
20762.49,43714.0
20768.43,43714.0
20774.36,43714.0
20780.31,43714.0
20786.29,43714.0
20792.29,43714.0
20798.26,43714.0
20804.12,43714.0
20810.03,43714.0
20815.89,43714.0
20821.81,43714.0
20827.73,43714.0
20833.72,43714.0
20839.69,43714.0
20845.71,43714.0
20851.79,43708.0
20857.76,43708.0
20863.76,43708.0
20869.72,43708.0
20875.61,43708.0
20881.61,43695.0
20887.56,43695.0
20893.59,43695.0
20899.55,43694.0
20905.43,43681.0
20911.36,43681.0
20917.43,43627.0
20923.34,43627.0
20929.3,43627.0
20935.52,43627.0
20941.41,43627.0
20947.44,43627.0
